condition_name,condition_label,actual_time_min,sample_count,center_of_mass_depth_mean,center_of_mass_depth_std,center_of_mass_depth_sem,deep_tail_fraction_mean,deep_tail_fraction_std,deep_tail_fraction_sem
pump_off,Pump off,0.0,1,0.1319553266983018,,,0.018341646863172315,,
pump_off,Pump off,0.16666666666666652,1,0.1303210075543401,,,0.015834987037774903,,
pump_off,Pump off,0.33333333333333304,1,0.13324841418770503,,,0.02078495243320984,,
pump_off,Pump off,0.49999999999999956,1,0.13151074139519925,,,0.014590615745435975,,
pump_off,Pump off,0.6666666666666661,1,0.14158291659396136,,,0.025107536610787413,,
pump_off,Pump off,0.8333333333333326,1,0.14100301971667065,,,0.020811065205758258,,
pump_off,Pump off,0.9999999999999991,1,0.13640195299860192,,,0.020283050864576897,,
pump_off,Pump off,1.1666666666666656,1,0.13128251578672803,,,0.016630348716504744,,
pump_off,Pump off,1.3333333333333321,1,0.1443304402700261,,,0.02389552064095904,,
pump_off,Pump off,1.4999999999999987,1,0.13872876367549763,,,0.018507293636679942,,
pump_off,Pump off,1.6666666666666652,1,0.14139760311508207,,,0.018572403254244575,,
pump_off,Pump off,1.8333333333333317,1,0.13463378077325586,,,0.016584216185629216,,
pump_off,Pump off,1.9999999999999982,1,0.13677609766927928,,,0.013502253088954056,,
pump_off,Pump off,2.1666666666666647,1,0.1351870797326395,,,0.013113633979385404,,
pump_off,Pump off,2.3333333333333313,1,0.13359285638862523,,,0.012723741806289825,,
pump_off,Pump off,2.499999999999998,1,0.13533487996650878,,,0.0143526713717219,,
pump_off,Pump off,2.6666666666666643,1,0.14186657604226777,,,0.018858918813764163,,
pump_off,Pump off,2.833333333333331,1,0.1445901183367523,,,0.020325009797233718,,
pump_off,Pump off,2.9999999999999973,1,0.1419640089554041,,,0.017481496270205652,,
pump_off,Pump off,3.166666666666664,1,0.14244520269535477,,,0.017861566196002786,,
pump_off,Pump off,3.3333333333333304,1,0.14750273089915159,,,0.022991042220972913,,
